id,location,frequency,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
45yEy5WJywhJ3sDI28ajTm,education,4,0,185733,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,4
0vOkmmJEtjuFZDzrQSFzEE,education,4,74,171267,0.741,0.58,4,-9.05,1,0.0304,0.117,3.31e-05,0.212,0.944,127.402,4
3qiyyUfYe7CRYLucrPmulD,education,4,78,300400,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,4
2Cdvbe2G4hZsnhNMKyGrie,education,4,79,175173,0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379,4
2SiXAy7TuUkycRVbbWDEpo,education,4,82,210173,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4
0hCB0YR03f6AmQaHbwWDe8,education,4,79,333893,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,4
40riOy7x9W7GXjyGp4pjAv,education,4,86,391376,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4
4CJVkjo5WpmUAKp3R44LNb,education,4,0,281147,0.597,0.605,7,-12.013,1,0.0255,0.181,0.000331,0.118,0.886,97.782,4
43bSKCMWHIuBsUVmQcDX1J,education,4,65,257000,0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44,3
1Oo7XEqkrwifJn17aA0ocF,education,4,66,378733,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,4
3NbAsIxDL0fVgNuCLD152P,education,4,66,176518,0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,4
7hQJA50XrCWABAu5v6QZ4i,education,4,76,209413,0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271,4
5WtfUKzXircvW8l5aaVZWT,education,3,86,173307,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,4
2LMkwUfqC6S6s6qDVlEuzV,education,3,80,248808,0.444,0.0924,0,-15.605,1,0.0366,0.784,0.0,0.304,0.219,108.917,4
5RgFlk1fcClZd0Y4SGYhqH,education,3,75,201373,0.292,0.324,3,-11.996,1,0.0346,0.797,0.000473,0.12,0.384,176.631,3
4bBrKDo8rchikwZOtmXbIH,education,3,69,227560,0.656,0.692,1,-6.145,0,0.0563,0.00212,0.00305,0.128,0.693,128.016,4
23YKjuTD2esIoc2ICqTLxZ,education,3,58,263547,0.731,0.189,7,-10.918,1,0.0329,0.768,0.0,0.0884,0.379,78.1,4
3I2fxo7S9Z29I7xsntRCLD,education,3,38,253402,0.505,0.395,1,-7.286,1,0.029,0.375,0.0,0.107,0.135,75.999,4
24ngpWhBOxKJtIPnzSNX8c,education,3,71,343018,0.465,0.592,4,-4.905,1,0.0293,0.0208,1.51e-06,0.0929,0.117,139.867,4
2DEp2t7R9zRg38nNxEAVcB,education,3,53,246093,0.469,0.116,9,-13.254,1,0.0426,0.689,0.0,0.733,0.199,115.215,4
4JSDhJVmo2UqdF7nxbyenn,education,3,67,242800,0.5,0.339,7,-7.301,1,0.0263,0.71,0.00222,0.108,0.152,136.427,4
5EvsytirpNFGyK88Zm7IoK,education,3,59,267787,0.558,0.249,1,-9.319,1,0.0376,0.614,0.0,0.185,0.191,131.195,4
6wdCelHrPh7UfliNjwRTUv,education,3,72,310709,0.447,0.16,6,-10.896,1,0.0372,0.913,0.0,0.0891,0.205,118.313,3
761frfZtZ8I2g70UsjFfBK,education,3,54,233728,0.474,0.522,11,-7.513,1,0.0408,0.36,0.0,0.123,0.448,157.225,4
5w4faQsr8wjIBBRDrZ6Udw,education,3,53,277480,0.417,0.21,6,-9.4,1,0.033,0.412,0.0,0.104,0.144,127.009,4
0pwdJLLVxlJa1lnR9UeMZY,education,3,58,188120,0.368,0.321,3,-5.904,1,0.0272,0.769,0.0,0.135,0.0673,139.001,4
47Bg6IrMed1GPbxRgwH2aC,education,3,82,262231,0.575,0.714,6,-5.247,1,0.0596,0.395,0.0,0.115,0.32,144.982,4
7utRJ4BeYx85khzP3lKoBX,education,3,65,271760,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,4
3JjnGLK8IxkNLvo8Lb3KOM,education,3,80,248360,0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,4
