id,location,frequency,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5Xjcst6Rle74VteHx0zczO,church,4,56,489453,0.363,0.533,2,-8.319,1,0.0314,0.136,0.0,0.358,0.0693,144.005,4
4ZWBLvqU9JdgSI99gDiPPv,church,4,0,265000,0.299,0.223,10,-15.925,1,0.0271,0.311,8.96e-05,0.108,0.198,77.746,4
5N23UhzMfAuCYjwhSbTQwH,church,4,57,318120,0.507,0.28,3,-10.284,1,0.0282,0.775,0.000264,0.122,0.233,139.791,4
0pNizrRmvu5S16fH6ccm0v,church,4,63,452499,0.391,0.769,11,-6.356,1,0.045,0.00346,0.0,0.911,0.14,139.874,3
6TbG237Ir0ublbxXq2T3Yp,church,4,55,581177,0.228,0.297,6,-12.664,1,0.0358,0.646,1.53e-06,0.123,0.0903,135.028,1
584GnCDcDhRV6R8iZ7gzxC,church,4,62,373691,0.412,0.61,10,-7.988,1,0.0379,0.177,0.000102,0.0851,0.242,148.005,4
398Dfg7EisARPcvixgrtuI,church,4,60,249242,0.486,0.302,2,-10.72,1,0.0332,0.772,0.0,0.073,0.45,79.258,4
5KXVeVXTMuCJnkK8YSC3FC,church,4,61,393200,0.381,0.161,0,-12.915,1,0.0369,0.84,0.0,0.143,0.356,135.813,4
0qf2iUDfPDtrLeJFmOvVn6,church,4,63,299366,0.438,0.529,9,-9.224,1,0.0324,0.0113,0.0,0.109,0.395,136.147,4
1Hv54MWloXiAZDam1ez840,church,4,55,296343,0.472,0.351,9,-8.996,1,0.0326,0.589,0.0,0.0821,0.0611,144.01,3
6qJzFn1uLtIPb2J7c8Opy3,church,4,0,280763,0.455,0.734,11,-7.422,1,0.0315,0.00555,0.0,0.243,0.267,90.019,4
5F24AeQlGfBxwa8WrFR3QQ,church,4,58,332693,0.334,0.634,0,-7.282,1,0.0425,0.017,0.0,0.113,0.143,143.708,4
50lW1fKoDtyKaiR2bR7ksl,church,4,61,329080,0.271,0.669,6,-6.046,1,0.0362,0.000292,0.0,0.61,0.21,171.911,3
0Ck8Iw5OM5Ag8q2CjBqjrV,church,4,54,410509,0.505,0.821,11,-6.733,1,0.0476,0.027,0.0,0.935,0.25,124.015,3
6zvSkAEtFZIJD7kVeo5by4,church,4,0,486945,0.424,0.583,9,-6.864,1,0.0285,0.00227,0.0,0.115,0.0711,144.977,4
3sS3krMEoOsTSAPNtsTobt,church,4,50,518680,0.375,0.681,2,-7.758,1,0.0404,0.00122,0.00265,0.632,0.0676,143.885,4
0WFaQNCdmyONO7GIWL8mDZ,church,4,54,315253,0.16,0.563,5,-7.771,1,0.0492,0.0381,0.00297,0.147,0.0859,139.623,4
5legkLUDyq0qOg4TR7wUAs,church,4,58,223627,0.697,0.944,7,-2.796,0,0.0327,0.00173,0.000162,0.32,0.846,119.994,4
5pTpq4JWJHkZtcO2BjBN4V,church,4,6,203070,0.495,0.732,10,-4.336,1,0.0417,0.244,0.0,0.0624,0.349,71.024,4
5y8qfDDccV2kEn4roGPter,church,4,0,184733,0.514,0.875,8,-5.181,1,0.0526,0.00228,0.0,0.171,0.584,81.974,4
17GmwQ9Q3MTAz05OokmNNB,church,4,61,196467,0.467,0.715,0,-5.076,1,0.0348,0.0231,0.0,0.144,0.367,156.074,4
4Uvjwj4KWFlyCULhR9zeTx,church,4,5,331613,0.305,0.726,9,-6.375,1,0.061,0.196,0.0,0.464,0.554,82.673,4
1bVVKpdOuQ77Ti3kcTdfTy,church,4,50,239613,0.428,0.73,11,-4.435,1,0.0286,0.00497,0.0,0.244,0.161,147.976,4
34gCuhDGsG4bRPIf9bb02f,church,4,82,281560,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,4
6RtPijgfPKROxEzTHNRiDp,church,4,80,224840,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,4
3DmW6y7wTEYHJZlLo1r6XJ,church,4,78,206167,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,4
0jceXOZ2D9ZSzsfl3CKlxg,church,4,53,290133,0.509,0.897,1,-4.809,0,0.051,0.00227,0.0,0.129,0.318,101.959,4
1sfSQ2d6rTsCSQ2cbBIj8r,church,4,50,265387,0.578,0.894,8,-4.909,1,0.0416,0.0204,2.61e-05,0.105,0.303,120.025,4
6RruB10Yvw1uCHHSIku5qW,church,4,64,157040,0.608,0.562,7,-2.617,1,0.0263,0.538,0.0,0.112,0.58,130.034,4
77OLLnRUGQtf0HH626f0Vj,church,4,65,149720,0.566,0.488,4,-6.21,1,0.026,0.118,0.0,0.141,0.444,106.955,4
0W7KIc2GSB9suYQAaMZ9rF,church,4,67,206400,0.561,0.717,8,-5.72,1,0.0381,0.458,0.0,0.138,0.455,79.993,4
6oizwmD5yHvlQUw0xvirrY,church,4,60,223348,0.495,0.695,8,-6.331,1,0.0374,0.4,0.0,0.088,0.473,153.882,4
0pAPFaE1Iwfvex9EVJuQlG,church,4,56,248733,0.509,0.75,11,-5.884,1,0.0397,0.00208,0.0,0.182,0.131,120.001,4
1k9dLBzwep1k1eGP0Ec8ZK,church,4,58,168693,0.667,0.87,9,-3.321,1,0.078,0.391,0.0,0.0697,0.695,104.946,4
5LOmYKKXSkAeB4m2YsDJrI,church,4,49,228763,0.428,0.599,9,-5.508,0,0.0586,0.0132,0.0,0.268,0.253,119.993,4
3QntQwzIBV704yqCHLLmyH,church,4,56,247373,0.544,0.243,10,-11.825,1,0.0277,0.599,0.0,0.11,0.108,140.048,4
3uc5bBXNRtCQGzRDqTPGNK,church,4,68,233533,0.629,0.463,7,-5.759,1,0.0295,0.358,0.0,0.108,0.573,80.111,4
4jcxBTrNvyqMJdMDyyjdYV,church,4,73,171360,0.839,0.667,11,-3.961,0,0.031,0.322,0.0,0.244,0.878,124.889,4
0BzPKbK1FMlEdH7AxrLdgr,church,4,0,252258,0.55,0.74,0,-5.263,1,0.0333,0.135,0.000207,0.103,0.256,129.928,4
16ONd70tvWAaLIc6hcLzaG,church,4,71,143933,0.638,0.437,4,-3.857,1,0.0332,0.282,0.0,0.0894,0.618,147.88,3
6bWvaqrIJTvk90SUteD6WL,church,4,45,130760,0.668,0.638,2,-3.867,1,0.0321,0.46,0.0,0.161,0.662,148.154,4
6n01vQklESLKTMry9VcEFV,church,4,49,202943,0.527,0.67,3,-5.073,1,0.0274,0.0215,0.0,0.157,0.271,86.999,4
5GDtkgG9T1BDknHHyDtghv,church,4,62,253640,0.408,0.707,1,-5.4,1,0.0341,0.189,0.0,0.626,0.333,161.962,4
0yzKJqFTXsbzWjUHaiOxD9,church,4,63,488333,0.493,0.63,9,-5.143,1,0.0264,0.0492,0.0,0.123,0.107,135.999,4
0bbfPCVP91LEPhGEfSAkXV,church,4,35,554613,0.489,0.418,4,-10.504,1,0.029,0.0589,3.5e-05,0.0781,0.249,145.862,4
1Z9VshSLe0Bilw38JPEwc5,church,4,36,385792,0.366,0.534,4,-8.455,1,0.0289,0.232,0.157,0.112,0.134,143.93,4
0qIx8dthnBVdqP0F7Pl8AG,church,4,51,249480,0.374,0.668,9,-5.244,1,0.0366,0.0645,0.000106,0.0638,0.212,159.899,4
0uyfwtzFktGLULnH17ch0K,church,4,44,201653,0.489,0.101,9,-15.773,1,0.0328,0.899,0.0,0.115,0.424,80.122,3
1z98OudPypsnTgGf5PzzqC,church,4,45,176707,0.628,0.237,10,-13.525,1,0.0273,0.652,1.11e-05,0.139,0.556,100.136,4
50wsJAxKwU1C4BwmHIdeyn,church,4,42,224920,0.547,0.0438,10,-16.6,1,0.0325,0.924,0.0,0.107,0.315,100.077,4
0BAZU1qjtyy1wX1y78gzda,church,4,39,193453,0.548,0.128,0,-14.17,1,0.0279,0.891,3.7e-06,0.0704,0.328,70.038,4
02WacdrRpm4zlP8H7X6bnQ,church,4,0,260004,0.608,0.174,1,-8.796,1,0.0332,0.851,1.92e-05,0.0855,0.193,112.175,4
47Slg6LuqLaX0VodpSCvPt,church,4,78,220734,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,4
5r4yBXDDdbEbzZ0hg0Wykc,church,4,0,246913,0.669,0.788,1,-5.495,1,0.0277,0.00531,0.0,0.0733,0.691,110.022,4
40KZgKCIvRVIoZqv9lNBoP,church,4,70,285099,0.521,0.268,7,-9.751,1,0.0338,0.866,0.0,0.1,0.444,90.472,4
1g5I6Ns9TOz1XWJ968D2Zu,church,4,38,289200,0.615,0.36,7,-12.681,1,0.029,0.323,1.82e-05,0.392,0.0826,109.042,4
4tZccDFqoZp8IN7VUnsJ9K,church,4,45,253200,0.646,0.647,7,-7.669,1,0.0255,0.0717,0.0,0.216,0.68,136.001,4
3HZCMyuazaSOLgXexcMASl,church,4,64,214773,0.701,0.494,1,-6.811,1,0.027,0.56,0.0,0.224,0.206,119.998,4
5x6kpKKVTRqksq4g7orx5A,church,3,50,227813,0.549,0.33,2,-9.28,1,0.0522,0.825,2.05e-06,0.172,0.337,80.483,4
05ZACkzW8YbRq3eFgIfSNB,church,3,72,263387,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,4
6hr4weuSidHy2LNMw8UVJ2,church,3,61,198907,0.693,0.335,0,-10.863,1,0.0395,0.338,0.000552,0.118,0.623,136.071,4
2uZhNjlUQ9mnt0rS7hcAgF,church,3,1,191333,0.77,0.641,10,-6.077,0,0.035,0.0206,0.00023,0.106,0.639,96.98,4
2FNYp8WnWlqkI4J0Zgea7a,church,3,57,191053,0.453,0.798,0,-6.92,1,0.0305,0.00225,1.19e-06,0.331,0.694,158.069,4
59FhRUTbBuT05t8w1dvWLI,church,3,53,159720,0.564,0.531,0,-5.88,1,0.0359,0.0296,0.0,0.107,0.842,138.406,4
4Ye5LohYYu6b2JjO25OWlQ,church,3,45,202493,0.674,0.815,7,-7.718,1,0.0364,0.00213,0.000299,0.0781,0.559,110.937,4
20qkS51sD3ZAzFIUryztcg,church,3,49,265680,0.588,0.644,11,-9.213,1,0.0515,0.0444,0.0,0.0906,0.27,92.924,4
5lH14PEjAXYuMTz0Dd4L1D,church,3,55,228707,0.536,0.863,0,-5.081,0,0.0362,0.0658,0.172,0.118,0.405,89.979,4
1q6ZRCMKJOUPI0JEn2Lu3c,church,3,0,204080,0.624,0.885,5,-5.084,1,0.0261,0.0076,0.000954,0.128,0.892,94.991,4
1BGeARBsKpOjeNACiu6ZSZ,church,3,43,201120,0.546,0.863,10,-6.812,1,0.0458,0.0117,0.0,0.269,0.596,112.074,4
3QYXgYgff77dt42xLnhUaf,church,3,44,241413,0.585,0.719,11,-8.332,1,0.0279,0.00144,1.84e-05,0.123,0.428,108.979,4
1kBx9VGumfuvlfqdlAGorE,church,3,63,175280,0.689,0.582,5,-6.778,1,0.0236,0.119,0.00464,0.101,0.883,99.021,4
5sUK3VV5VOlSop891gWz7O,church,3,50,273053,0.745,0.455,5,-11.389,1,0.0293,0.71,0.000338,0.0836,0.532,110.034,4
7IE865TiMLStYYcqgFem18,church,3,42,316853,0.517,0.522,10,-10.877,1,0.0385,0.3,0.00629,0.0849,0.422,92.095,4
18Bgya13bGqmHGLRdyaBdu,church,3,53,220827,0.392,0.44,4,-6.711,1,0.0282,0.449,0.0,0.118,0.166,143.921,4
5AcdaSVQfLcUKMaqchfBie,church,3,60,224169,0.545,0.805,0,-5.792,1,0.0491,0.0326,0.0,0.781,0.727,110.005,4
79pfMqEMRo8jzPGX7fyw0K,church,3,60,247423,0.535,0.732,4,-4.085,1,0.0333,0.0531,0.0,0.157,0.23,137.954,4
2jjyMzq3pvknVSBeSzjck6,church,3,41,338027,0.274,0.485,8,-9.375,1,0.0299,0.0852,0.0,0.129,0.333,146.464,4
439tGS9rVbyTjj5SmneD56,church,3,57,331839,0.473,0.449,0,-8.63,1,0.0259,0.495,0.0,0.158,0.245,71.99,4
5l2nA65AMfg7GdZvFMyXI4,church,3,57,489860,0.395,0.482,0,-9.039,1,0.0311,0.371,0.0,0.411,0.132,130.113,4
